iteration, obj, obj_qp, obj_lp, obj_decoded, rho
1864,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1865,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1866,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1867,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1868,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1869,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1870,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1871,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1872,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1873,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1874,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1875,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1876,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1877,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1878,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1879,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1880,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1881,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1882,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1883,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1884,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1885,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1886,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1887,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1888,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1889,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1890,-3136.7,-3136.7,-3136.7,-3136.7,0.50625
1891,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1892,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1893,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1894,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1895,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1896,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1897,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1898,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1899,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1900,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1901,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
